order_id,order_date,region,category,sub_category,segment,channel,customer_tier,quantity,unit_price,revenue,cost,profit,returned
ORD-10725,2024-01-01,Midwest,Electronics,Laptops,Consumer,Online,Loyal,3,862.02,2586.07,1498.93,1087.14,0
ORD-10889,2024-01-01,South,Electronics,Laptops,Consumer,Retail,Returning,2,128.56,257.12,174.68,82.44,0
ORD-11381,2024-01-01,Northeast,Furniture,Storage,Consumer,Online,Loyal,4,455.29,1821.17,1363.06,458.11,0
ORD-11553,2024-01-01,Midwest,Furniture,Desks,Consumer,Online,Loyal,5,245.17,1225.86,735.97,489.89,0
ORD-11948,2024-01-01,South,Office Supplies,Pens,Home Office,Partner,Returning,8,7.33,58.65,32.45,26.2,1
ORD-12265,2024-01-01,Midwest,Office Supplies,Binders,Corporate,Online,Returning,3,24.65,73.94,33.33,40.61,0
ORD-11249,2024-01-02,South,Furniture,Chairs,Consumer,Online,Returning,1,269.61,269.61,154.49,115.12,0
ORD-11663,2024-01-02,Midwest,Furniture,Desks,Consumer,Retail,New,5,458.68,2293.38,1159.09,1134.29,0
ORD-11970,2024-01-02,Midwest,Office Supplies,Pens,Corporate,Retail,Returning,2,26.37,52.74,28.84,23.9,1
ORD-10494,2024-01-03,Northeast,Furniture,Desks,Consumer,Online,New,6,424.72,2548.33,1598.06,950.27,0
ORD-10591,2024-01-03,South,Electronics,Accessories,Consumer,Partner,Loyal,6,394.91,2369.46,1695.35,674.11,0
ORD-10619,2024-01-03,Northeast,Apparel,Women,Consumer,Retail,Returning,2,117.89,235.78,141.9,93.88,0
ORD-11697,2024-01-03,West,Apparel,Kids,Home Office,Online,Loyal,8,116.68,933.47,694.63,238.84,0
ORD-11733,2024-01-03,Midwest,Furniture,Chairs,Consumer,Online,Returning,1,239.69,239.69,169.55,70.14,0
ORD-11750,2024-01-03,Northeast,Apparel,Men,Consumer,Retail,Returning,1,105.83,105.83,74.44,31.39,0
ORD-12476,2024-01-03,West,Furniture,Storage,Corporate,Retail,New,6,457.66,2745.98,1390.46,1355.52,0
ORD-10418,2024-01-04,South,Furniture,Chairs,Consumer,Retail,Loyal,3,401.9,1205.71,881.89,323.82,0
ORD-10630,2024-01-04,South,Apparel,Kids,Consumer,Retail,Loyal,1,107.6,107.6,65.32,42.28,0
ORD-10732,2024-01-04,Midwest,Apparel,Kids,Consumer,Online,Returning,2,17.59,35.18,21.17,14.01,0
ORD-11154,2024-01-04,Midwest,Office Supplies,Binders,Consumer,Retail,Returning,6,37.6,225.61,163.31,62.3,0
ORD-11160,2024-01-04,Midwest,Furniture,Desks,Home Office,Online,Loyal,2,492.96,985.92,685.12,300.8,0
ORD-11511,2024-01-04,West,Office Supplies,Pens,Consumer,Online,Returning,4,31.03,124.12,92.58,31.54,0
ORD-11596,2024-01-04,Midwest,Electronics,Accessories,Consumer,Retail,Returning,4,257.95,1031.81,680.56,351.25,0
ORD-11702,2024-01-04,Northeast,Apparel,Women,Corporate,Partner,Returning,8,70.04,560.32,257.05,303.27,0
ORD-11804,2024-01-04,West,Furniture,Storage,Corporate,Retail,Returning,1,459.63,459.63,214.46,245.17,0
ORD-12195,2024-01-04,Midwest,Office Supplies,Paper,Consumer,Partner,New,8,11.63,93.03,60.92,32.11,0
ORD-10206,2024-01-05,West,Office Supplies,Paper,Corporate,Retail,New,4,38.98,155.94,83.26,72.68,0
ORD-10353,2024-01-05,South,Electronics,Laptops,Corporate,Partner,Returning,2,95.64,191.29,107.93,83.36,0
ORD-10599,2024-01-05,Northeast,Electronics,Laptops,Corporate,Retail,New,4,508.31,2033.26,1379.38,653.88,0
ORD-10638,2024-01-05,South,Apparel,Women,Consumer,Online,Returning,3,27.08,81.23,42.98,38.25,0
ORD-10760,2024-01-05,South,Apparel,Men,Consumer,Retail,New,1,72.9,72.9,53.65,19.25,0
ORD-11584,2024-01-05,Midwest,Office Supplies,Paper,Corporate,Partner,New,7,23.17,162.16,114.79,47.37,0
ORD-11786,2024-01-05,Midwest,Electronics,Laptops,Consumer,Partner,Loyal,4,545.06,2180.23,1301.61,878.62,0
ORD-11823,2024-01-05,West,Apparel,Men,Consumer,Retail,Loyal,6,36.01,216.07,103.33,112.74,0
ORD-12059,2024-01-05,Northeast,Furniture,Chairs,Consumer,Online,Returning,1,289.74,289.74,133.05,156.69,0
ORD-12358,2024-01-05,South,Furniture,Storage,Corporate,Retail,Returning,1,580.99,580.99,345.55,235.44,0
ORD-10045,2024-01-06,Midwest,Furniture,Chairs,Corporate,Online,Loyal,8,319.95,2559.61,1321.98,1237.63,0
ORD-10397,2024-01-06,West,Apparel,Women,Corporate,Online,Returning,5,93.69,468.45,312.97,155.48,0
ORD-11264,2024-01-06,Northeast,Furniture,Desks,Consumer,Online,New,3,240.86,722.59,452.67,269.92,0
ORD-11272,2024-01-06,Midwest,Electronics,Laptops,Home Office,Online,New,7,230.59,1614.12,755.96,858.16,0
ORD-11342,2024-01-06,Midwest,Furniture,Chairs,Consumer,Online,Returning,2,285.28,570.55,258.58,311.97,0
ORD-12098,2024-01-06,West,Furniture,Chairs,Consumer,Partner,Loyal,6,129.39,776.34,378.05,398.29,0
ORD-10260,2024-01-07,South,Furniture,Storage,Consumer,Retail,Returning,7,186.72,1307.02,739.07,567.95,0
ORD-10824,2024-01-07,Midwest,Furniture,Desks,Corporate,Online,Returning,8,418.61,3348.86,1933.95,1414.91,0
ORD-10975,2024-01-07,South,Furniture,Chairs,Consumer,Partner,Returning,6,264.91,1589.49,944.24,645.25,0
ORD-11223,2024-01-07,Midwest,Office Supplies,Binders,Home Office,Online,Returning,3,8.45,25.35,12.66,12.69,0
ORD-11267,2024-01-07,Northeast,Furniture,Storage,Consumer,Online,Loyal,4,328.57,1314.26,616.81,697.45,0
ORD-11528,2024-01-07,South,Electronics,Accessories,Consumer,Partner,Returning,6,475.0,2850.01,1520.65,1329.36,0
ORD-11573,2024-01-07,South,Office Supplies,Binders,Consumer,Online,New,4,23.2,92.8,64.15,28.65,1
ORD-10751,2024-01-08,Northeast,Furniture,Chairs,Consumer,Online,Returning,6,410.36,2462.19,1555.7,906.49,0
ORD-11222,2024-01-08,West,Electronics,Laptops,Consumer,Online,Returning,4,797.19,3188.75,1859.76,1328.99,0
ORD-12443,2024-01-08,Northeast,Electronics,Laptops,Home Office,Online,New,6,89.67,537.99,277.77,260.22,1
ORD-10148,2024-01-09,Northeast,Furniture,Chairs,Consumer,Online,Returning,1,74.33,74.33,50.27,24.06,0
ORD-11345,2024-01-09,Midwest,Electronics,Laptops,Home Office,Retail,New,1,802.49,802.49,581.72,220.77,0
ORD-11434,2024-01-09,West,Office Supplies,Binders,Corporate,Online,New,1,26.74,26.74,12.79,13.95,0
ORD-11450,2024-01-09,Northeast,Electronics,Laptops,Consumer,Online,Loyal,3,532.36,1597.08,1168.23,428.85,0
ORD-11689,2024-01-09,West,Furniture,Desks,Corporate,Online,Loyal,2,115.58,231.15,147.84,83.31,0
ORD-11703,2024-01-09,South,Electronics,Phones,Consumer,Online,Loyal,6,278.92,1673.52,1148.02,525.5,0
ORD-11870,2024-01-09,Midwest,Furniture,Storage,Corporate,Online,New,6,345.5,2072.99,1467.3,605.69,0
ORD-12499,2024-01-09,Midwest,Furniture,Desks,Consumer,Partner,New,3,400.88,1202.64,784.26,418.38,0
ORD-10503,2024-01-10,Northeast,Electronics,Laptops,Consumer,Retail,Returning,7,792.4,5546.8,3525.27,2021.53,0
ORD-10511,2024-01-10,South,Office Supplies,Binders,Corporate,Online,Loyal,1,7.22,7.22,4.47,2.75,0
ORD-11446,2024-01-10,South,Furniture,Storage,Corporate,Retail,New,4,181.55,726.18,396.85,329.33,0
ORD-11911,2024-01-10,South,Office Supplies,Binders,Corporate,Online,Loyal,4,39.41,157.63,93.19,64.44,0
ORD-11918,2024-01-10,South,Apparel,Men,Consumer,Retail,Loyal,2,66.36,132.72,91.95,40.77,0
ORD-10040,2024-01-11,Midwest,Furniture,Chairs,Consumer,Online,Loyal,8,471.79,3774.35,2545.34,1229.01,0
ORD-10106,2024-01-11,Northeast,Apparel,Women,Corporate,Partner,Returning,1,84.0,84.0,40.41,43.59,0
ORD-11086,2024-01-11,South,Furniture,Desks,Consumer,Retail,Loyal,2,119.73,239.46,146.09,93.37,0
ORD-11192,2024-01-11,Midwest,Office Supplies,Pens,Consumer,Partner,New,5,27.71,138.53,75.5,63.03,0
ORD-11420,2024-01-11,Northeast,Apparel,Kids,Corporate,Retail,Loyal,5,47.03,235.16,120.51,114.65,0
ORD-11707,2024-01-11,Northeast,Office Supplies,Paper,Corporate,Retail,Returning,1,8.67,8.67,5.31,3.36,1
ORD-11849,2024-01-11,West,Electronics,Laptops,Corporate,Online,Loyal,3,247.62,742.85,532.09,210.76,0
ORD-12065,2024-01-11,Northeast,Office Supplies,Binders,Corporate,Retail,New,7,34.21,239.44,117.18,122.26,0
ORD-12399,2024-01-11,Northeast,Office Supplies,Binders,Consumer,Retail,New,2,38.52,77.04,41.68,35.36,0
ORD-10068,2024-01-12,Northeast,Apparel,Women,Corporate,Retail,Loyal,1,109.81,109.81,74.97,34.84,0
ORD-10144,2024-01-12,Northeast,Apparel,Women,Corporate,Retail,New,6,108.89,653.36,487.3,166.06,0
ORD-10177,2024-01-12,Northeast,Office Supplies,Pens,Corporate,Online,Loyal,4,15.25,60.99,35.9,25.09,0
ORD-10543,2024-01-12,West,Office Supplies,Pens,Consumer,Online,Returning,1,34.24,34.24,16.66,17.58,0
ORD-10612,2024-01-12,West,Apparel,Women,Corporate,Partner,Loyal,7,111.92,783.45,517.34,266.11,0
ORD-10816,2024-01-12,West,Apparel,Kids,Corporate,Retail,Loyal,8,50.48,403.82,263.92,139.9,0
ORD-10830,2024-01-12,South,Furniture,Storage,Corporate,Retail,New,7,486.5,3405.53,2161.4,1244.13,0
ORD-10866,2024-01-12,West,Furniture,Chairs,Consumer,Retail,Loyal,1,331.74,331.74,152.48,179.26,0
ORD-11377,2024-01-12,West,Electronics,Accessories,Consumer,Retail,Returning,6,642.18,3853.07,2836.18,1016.89,0
ORD-11418,2024-01-12,Northeast,Apparel,Kids,Consumer,Online,Returning,1,105.11,105.11,76.89,28.22,0
ORD-11599,2024-01-12,Northeast,Electronics,Laptops,Consumer,Retail,New,3,503.34,1510.01,978.42,531.59,0
ORD-12166,2024-01-12,South,Office Supplies,Binders,Corporate,Online,Loyal,5,38.88,194.41,131.41,63.0,0
ORD-10827,2024-01-13,South,Office Supplies,Paper,Consumer,Online,Returning,1,4.35,4.35,2.28,2.07,0
